City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Coihaique,CL,2021-10-18 15:01:02,-45.5752,-72.0662,44.6,96,100,6.22
91,Kysyl-Syr,RU,2021-10-18 14:59:13,63.8986,122.7617,23.5,96,100,6.15
92,Kruisfontein,ZA,2021-10-18 15:01:04,-34.0033,24.7314,62.89,47,20,10.09
93,Milyutinskaya,RU,2021-10-18 15:04:01,48.6279,41.6679,53.46,52,43,7.67
94,Perry,US,2021-10-18 15:04:02,37.2506,-83.1999,60.13,53,0,4.56
95,Mackay,AU,2021-10-18 15:00:06,-21.15,149.2,73.04,78,1,8.12
96,Jamestown,US,2021-10-18 14:52:43,42.097,-79.2353,51.94,71,75,9.22
97,San Patricio,US,2021-10-18 14:57:26,28.017,-97.5169,75.87,60,0,8.34
98,Cherskiy,RU,2021-10-18 14:57:13,68.75,161.3,-11.0,100,95,6.67
99,Mataura,NZ,2021-10-18 14:56:12,-46.1927,168.8643,52.38,65,97,8.88
100,Iqaluit,CA,2021-10-18 14:57:56,63.7506,-68.5145,35.33,74,75,21.0
101,Punta Arenas,CL,2021-10-18 14:56:17,-53.15,-70.9167,51.91,50,40,24.16
102,Puri,IN,2021-10-18 15:04:04,19.8,85.85,82.92,84,100,15.7
103,Nyimba,ZM,2021-10-18 15:04:04,-14.5566,30.8149,90.37,27,98,8.88
104,Upernavik,GL,2021-10-18 14:56:52,72.7868,-56.1549,27.03,42,100,2.93
105,Yellowknife,CA,2021-10-18 14:57:21,62.456,-114.3525,32.56,96,90,1.01
106,Bijie,CN,2021-10-18 15:04:05,27.3125,105.2942,49.28,97,100,3.44
107,Cascais,PT,2021-10-18 15:04:05,38.6979,-9.4215,83.52,66,0,1.99
108,Bandarbeyla,SO,2021-10-18 15:01:37,9.4942,50.8122,79.0,83,100,14.94
109,Vuktyl,RU,2021-10-18 14:59:06,63.8567,57.3094,37.15,80,86,9.55
110,Ahipara,NZ,2021-10-18 14:56:41,-35.1667,173.1667,55.54,94,18,2.95
111,Navalmoral De La Mata,ES,2021-10-18 15:04:06,39.8916,-5.5406,79.95,43,60,3.18
112,Shingu,JP,2021-10-18 15:04:06,33.7333,135.9833,58.87,87,100,6.91
113,Airai,TL,2021-10-18 14:57:26,-8.9266,125.4092,64.08,91,59,1.07
114,Punuare,HN,2021-10-18 15:04:07,14.7333,-85.9667,84.96,78,86,0.69
115,Kaitangata,NZ,2021-10-18 14:57:04,-46.2817,169.8464,49.93,78,61,10.49
116,Kapaa,US,2021-10-18 14:56:57,22.0752,-159.319,74.19,83,64,13.96
117,Portland,US,2021-10-18 15:02:21,45.5234,-122.6762,50.74,92,90,0.0
118,Daru,PG,2021-10-18 15:04:08,-9.0763,143.2092,80.35,86,53,12.53
119,Waipawa,NZ,2021-10-18 15:04:08,-41.4122,175.5153,54.23,80,41,10.47
120,Oktyabrskoye,RU,2021-10-18 15:04:08,43.0645,44.7417,53.74,100,90,4.47
121,Chuy,UY,2021-10-18 14:56:32,-33.6971,-53.4616,67.21,50,12,1.81
122,Aguai,BR,2021-10-18 15:04:09,-22.0594,-46.9786,70.25,68,93,4.9
123,Saint-Philippe,RE,2021-10-18 14:56:29,-21.3585,55.7679,76.59,78,19,14.63
124,Sitka,US,2021-10-18 14:56:15,57.0531,-135.33,38.95,81,100,6.64
125,Castro,BR,2021-10-18 14:56:24,-24.7911,-50.0119,55.47,97,100,5.93
126,East London,ZA,2021-10-18 14:56:39,-33.0153,27.9116,61.74,63,20,9.22
127,Yershov,RU,2021-10-18 15:04:10,51.3513,48.2766,52.29,69,100,5.08
128,Timizart,DZ,2021-10-18 15:04:10,36.8,4.2667,71.92,52,56,9.17
