City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Tautira,PF,-17.7333,-149.15,86.02,78,88,17.63,light rain
142,Wattegama,LK,6.7989,81.4808,74.32,79,97,1.36,overcast clouds
143,Ancud,CL,-41.8697,-73.8203,53.42,93,3,3.67,clear sky
144,Miri,MY,4.4148,114.0089,80.74,89,20,2.3,few clouds
145,Waipawa,NZ,-41.4122,175.5153,59.63,52,8,13.69,clear sky
146,Caravelas,BR,-17.7125,-39.2481,75.38,87,24,8.1,few clouds
147,Mbekenyera,TZ,-10.0,38.9833,71.51,79,98,3.85,overcast clouds
148,Linxia,CN,35.6003,103.2064,37.35,100,100,2.93,overcast clouds
149,Kaitangata,NZ,-46.2817,169.8464,50.94,50,100,9.89,overcast clouds
150,Ambovombe,MG,-25.1667,46.0833,70.0,92,34,9.19,scattered clouds
151,Vila Velha,BR,-20.3297,-40.2925,71.55,100,90,4.61,overcast clouds
152,Hofn,IS,64.2539,-15.2082,40.41,93,100,25.43,moderate rain
153,Zhangye,CN,38.9342,100.4517,49.44,27,100,3.13,overcast clouds
154,Hithadhoo,MV,-0.6,73.0833,81.32,72,79,7.0,broken clouds
155,Paris,FR,48.8534,2.3488,62.38,93,0,1.01,clear sky
156,Greenville,US,35.6127,-77.3663,59.63,65,1,3.44,clear sky
157,Ostrovnoy,RU,68.0531,39.5131,36.93,90,100,28.25,overcast clouds
158,Cherskiy,RU,68.75,161.3,0.45,96,34,8.95,scattered clouds
159,Lagos,NG,6.5833,3.75,77.32,90,100,3.44,overcast clouds
160,Lyskovo,RU,56.0328,45.0422,33.39,93,68,7.9,broken clouds
161,Lae,PG,-6.7221,146.9847,87.15,61,96,5.14,overcast clouds
162,Puerto Narino,CO,-3.7703,-70.3831,78.75,95,23,1.5,few clouds
163,Oriximina,BR,-1.7656,-55.8661,74.97,92,18,2.53,few clouds
164,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,5.75,clear sky
165,Hetauda,NP,27.4284,85.0322,76.35,94,100,4.05,overcast clouds
166,Dingle,PH,10.9995,122.6711,84.02,79,83,8.77,broken clouds
167,Panguna,PG,-6.3164,155.4848,84.11,55,35,2.26,scattered clouds
